dia_semana;uf;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tracado_via
domingo;RJ;Agressao Externa;Colisao com objeto estatico;Sem Vitimas;Pleno dia;Ceu Claro;Curva
domingo;GO;Defeito na Via;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Desvio Temporario
domingo;MG;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;GO;Condutor Dormindo;Colisao frontal;Com Vitimas Fatais;Plena Noite;Ceu Claro;Curva
domingo;MG;Agressao Externa;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
sabado;DF;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ignorado;Desvio Temporario
domingo;BA;Defeito Mecanico no Veiculo;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Ponte
quinta-feira;RJ;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;SC;Ultrapassagem Indevida;Colisao frontal;Com Vitimas Fatais;Pleno dia;Chuva;Reta
domingo;MG;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;BA;Nao guardar distancia de seguranca;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;PI;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;SP;Ultrapassagem Indevida;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
domingo;CE;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;SP;Defeito Mecanico no Veiculo;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Reta
domingo;ES;Falta de Atencao Conducao;Colisao com objeto estatico;Sem Vitimas;Pleno dia;Ceu Claro;Reta
domingo;PR;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Sol;Reta
domingo;RJ;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;RS;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;SC;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;SC;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Reta
domingo;PB;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Curva
sabado;BA;Ingestao de Alcool;Colisao com objeto em movimento;Com Vitimas Feridas;Plena Noite;Ceu Claro;Curva
domingo;RS;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;PI;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Sem Vitimas;Pleno dia;Ceu Claro;Rotatoria
domingo;PR;Desobediencia nas normas de transito pelo condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;SC;Falta de Atencao Conducao;Colisao traseira;Sem Vitimas;Pleno dia;Nublado;Intersecao de vias
domingo;SP;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Reta
domingo;SC;Defeito Mecanico no Veiculo;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Nublado;Desvio Temporario
domingo;PB;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;PE;Pista Escorregadia;Capotamento;Com Vitimas Feridas;Pleno dia;Chuva;Desvio Temporario
domingo;MG;Falta de Atencao Conducao;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Ceu Claro;Reta
domingo;RO;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Retorno Regulamentado
domingo;RS;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;MA;Defeito na Via;Capotamento;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;SC;Nao guardar distancia de seguranca;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;Reta
domingo;ES;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Reta
domingo;MT;Falta de Atencao Conducao;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;PE;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;Nao Informado
domingo;MG;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
domingo;RS;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;SP;Ultrapassagem Indevida;Colisao frontal;Com Vitimas Feridas;Pleno dia;Chuva;Desvio Temporario
domingo;SP;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Chuva;Reta
domingo;RS;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;MG;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Reta
domingo;GO;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Intersecao de vias
domingo;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;RO;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Intersecao de vias
domingo;PB;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;Curva
domingo;PR;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Nao Informado
domingo;SP;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Anoitecer;Nublado;Curva
domingo;RS;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;MG;Nao guardar distancia de seguranca;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;DF;Velocidade Incompativel;Colisao transversal;Sem Vitimas;Pleno dia;Ceu Claro;Reta
domingo;SC;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;Reta
domingo;SE;Desobediencia nas normas de transito pelo condutor;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;ES;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Reta
domingo;MG;Velocidade Incompativel;Engavetamento;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
domingo;RN;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vitimas Feridas;Anoitecer;Ceu Claro;Reta
domingo;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Chuva;Reta
domingo;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Anoitecer;Garoa/Chuvisco;Reta
domingo;SC;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;MS;Ingestao de Alcool;Colisao traseira;Sem Vitimas;Pleno dia;Sol;Reta
domingo;MG;Desobediencia nas normas de transito pelo condutor;Colisao lateral;Com Vitimas Feridas;Anoitecer;Ceu Claro;Retorno Regulamentado
domingo;RJ;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;SC;Pista Escorregadia;Colisao frontal;Com Vitimas Feridas;Anoitecer;Chuva;Curva
domingo;SC;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;BA;Defeito Mecanico no Veiculo;Tombamento;Com Vitimas Feridas;Anoitecer;Ceu Claro;Reta
domingo;MT;Pista Escorregadia;Colisao frontal;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;PE;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
domingo;SC;Falta de Atencao Conducao;Tombamento;Com Vitimas Feridas;Pleno dia;Chuva;Curva
domingo;SC;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Anoitecer;Garoa/Chuvisco;Nao Informado
domingo;MG;Desobediencia nas normas de transito pelo condutor;Colisao lateral;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;Rotatoria
domingo;RJ;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;GO;Ingestao de Alcool;Engavetamento;Sem Vitimas;Anoitecer;Ignorado;Nao Informado
domingo;MG;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;PR;Desobediencia nas normas de transito pelo condutor;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Intersecao de vias
domingo;GO;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;PB;Ingestao de Alcool;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;Reta
domingo;RN;Ingestao de Alcool;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Curva
domingo;MG;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
sexta-feira;AP;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Desvio Temporario
domingo;BA;Avarias e/ou desgaste excessivo no pneu;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;CE;Nao guardar distancia de seguranca;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Nublado;Nao Informado
domingo;SC;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Anoitecer;Chuva;Reta
domingo;SC;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Plena Noite;Chuva;Intersecao de vias
domingo;MT;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;MT;Defeito na Via;Colisao lateral;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;PB;Ingestao de Alcool;Colisao traseira;Com Vitimas Feridas;Plena Noite;Chuva;Reta
domingo;PR;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;PB;Ingestao de Alcool;Colisao lateral;Sem Vitimas;Pleno dia;Ceu Claro;Reta
domingo;RJ;Desobediencia nas normas de transito pelo condutor;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;MA;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Nublado;Reta
domingo;PR;Ingestao de Alcool;Colisao traseira;Sem Vitimas;Anoitecer;Chuva;Reta
domingo;MG;Desobediencia nas normas de transito pelo condutor;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;RJ;Ingestao de Alcool;Colisao traseira;Sem Vitimas;Plena Noite;Ceu Claro;Reta
domingo;MS;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;PA;Falta de Atencao Conducao;Colisao com objeto em movimento;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;SC;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;Reta
domingo;SC;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Chuva;Reta
domingo;SE;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Plena Noite;Nublado;Retorno Regulamentado
domingo;ES;Sinalizacao da via insuficiente ou inadequada;Danos eventuais;Sem Vitimas;Plena Noite;Ceu Claro;Reta
domingo;SC;Avarias e/ou desgaste excessivo no pneu;Saida de leito carrocavel;Com Vitimas Feridas;Anoitecer;Garoa/Chuvisco;Curva
domingo;BA;Ingestao de Alcool;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;BA;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Ceu Claro;Intersecao de vias
domingo;RJ;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;SC;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Anoitecer;Chuva;Curva
domingo;DF;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
domingo;MT;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
domingo;RJ;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Plena Noite;Nublado;Curva
segunda-feira;BA;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;MG;Nao guardar distancia de seguranca;Colisao lateral;Sem Vitimas;Plena Noite;Ceu Claro;Reta
domingo;PB;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Chuva;Nao Informado
domingo;RO;Ingestao de Alcool;Colisao transversal;Sem Vitimas;Plena Noite;Ceu Claro;Intersecao de vias
domingo;SC;Ingestao de Alcool;Saida de leito carrocavel;Sem Vitimas;Plena Noite;Nevoeiro/Neblina;Nao Informado
domingo;BA;Sinalizacao da via insuficiente ou inadequada;Colisao traseira;Com Vitimas Fatais;Plena Noite;Ceu Claro;Retorno Regulamentado
domingo;PR;Velocidade Incompativel;Engavetamento;Com Vitimas Feridas;Plena Noite;Chuva;Curva
domingo;PR;Desobediencia nas normas de transito pelo condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;Reta
domingo;MG;Falta de Atencao Conducao;Colisao transversal;Sem Vitimas;Plena Noite;Ceu Claro;Reta
domingo;MG;Velocidade Incompativel;Tombamento;Sem Vitimas;Pleno dia;Sol;Curva
domingo;MS;Animais na Pista;Atropelamento de Animal;Sem Vitimas;Plena Noite;Nublado;Nao Informado
domingo;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;MG;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;RO;Nao guardar distancia de seguranca;Saida de leito carrocavel;Com Vitimas Feridas;Anoitecer;Ceu Claro;Curva
domingo;PE;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Fatais;Plena Noite;Chuva;Curva
domingo;RJ;Mal Subito;Saida de leito carrocavel;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
domingo;DF;Ingestao de Alcool;Colisao traseira;Sem Vitimas;Plena Noite;Nublado;Reta
domingo;CE;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;PI;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;PB;Animais na Pista;Tombamento;Com Vitimas Fatais;Plena Noite;Nublado;Reta
segunda-feira;RS;Defeito Mecanico no Veiculo;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Nublado;Reta
segunda-feira;PR;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;Curva
domingo;PE;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Fatais;Plena Noite;Garoa/Chuvisco;Reta
segunda-feira;SP;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Plena Noite;Nublado;Desvio Temporario
domingo;CE;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
segunda-feira;MG;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Chuva;Curva
domingo;RO;Desobediencia nas normas de transito pelo condutor;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Nublado;Reta
domingo;MT;Condutor Dormindo;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;MG;Ingestao de Alcool;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
domingo;PB;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Nublado;Reta
segunda-feira;RJ;Deficincia ou nao Acionamento do Sistema de Iluminacao/Sinalizacao do Veiculo;Colisao traseira;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
segunda-feira;SP;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;Reta
segunda-feira;MT;Ingestao de Alcool;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
segunda-feira;MG;Condutor Dormindo;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Curva
segunda-feira;PR;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Plena Noite;Nublado;Reta
segunda-feira;SP;Animais na Pista;Atropelamento de Animal;Com Vitimas Feridas;Plena Noite;Nublado;Nao Informado
segunda-feira;PR;Ingestao de Alcool;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Ceu Claro;Desvio Temporario
segunda-feira;MG;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Amanhecer;Ceu Claro;Reta
segunda-feira;MT;Condutor Dormindo;Saida de leito carrocavel;Sem Vitimas;Plena Noite;Ceu Claro;Desvio Temporario
segunda-feira;RJ;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Amanhecer;Ceu Claro;Reta
segunda-feira;SP;Pista Escorregadia;Capotamento;Com Vitimas Feridas;Amanhecer;Garoa/Chuvisco;Reta
segunda-feira;MS;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Fatais;Amanhecer;Ceu Claro;Reta
segunda-feira;MG;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;MG;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;ES;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;RS;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;Rotatoria
segunda-feira;BA;Defeito Mecanico no Veiculo;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;ES;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Curva
segunda-feira;SC;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;MG;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;RN;Desobediencia nas normas de transito pelo condutor;Colisao frontal;Com Vitimas Feridas;Pleno dia;Sol;Retorno Regulamentado
segunda-feira;RN;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
segunda-feira;GO;Pista Escorregadia;Saida de leito carrocavel;Sem Vitimas;Amanhecer;Chuva;Desvio Temporario
segunda-feira;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Curva
segunda-feira;MA;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Fatais;Amanhecer;Ceu Claro;Reta
segunda-feira;MG;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
segunda-feira;GO;Defeito Mecanico no Veiculo;Incendio;Sem Vitimas;Pleno dia;Sol;Reta
segunda-feira;SP;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Chuva;Reta
segunda-feira;SC;Condutor Dormindo;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;MG;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Chuva;Curva
segunda-feira;MG;Velocidade Incompativel;Colisao com objeto estatico;Sem Vitimas;Pleno dia;Chuva;Curva
segunda-feira;SC;Falta de Atencao Conducao;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Ceu Claro;Curva
segunda-feira;ES;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Sol;Reta
segunda-feira;PI;Desobediencia nas normas de transito pelo condutor;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
domingo;PI;Falta de Atencao do Pedestre;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
quinta-feira;SC;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Anoitecer;Nublado;Curva
segunda-feira;SC;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Curva
segunda-feira;SP;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Chuva;Reta
segunda-feira;RS;Defeito Mecanico no Veiculo;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;Reta
segunda-feira;RS;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Reta
segunda-feira;SP;Ingestao de Alcool;Atropelamento de Pedestre;Com Vitimas Feridas;Pleno dia;Chuva;Reta
segunda-feira;PR;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Nao Informado
segunda-feira;MG;Pista Escorregadia;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Chuva;Reta
segunda-feira;RS;Desobediencia nas normas de transito pelo condutor;Colisao lateral;Sem Vitimas;Pleno dia;Sol;Intersecao de vias
quinta-feira;SC;Velocidade Incompativel;Tombamento;Com Vitimas Fatais;Plena Noite;Nublado;Curva
segunda-feira;SC;Velocidade Incompativel;Capotamento;Com Vitimas Feridas;Pleno dia;Nublado;Intersecao de vias
terca-feira;RO;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Fatais;Amanhecer;Ceu Claro;Reta
segunda-feira;PR;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;Curva
segunda-feira;BA;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;PB;Falta de Atencao Conducao;Colisao com objeto estatico;Sem Vitimas;Pleno dia;Ceu Claro;Curva
segunda-feira;MG;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Intersecao de vias
segunda-feira;GO;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;SP;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia;Chuva;Curva
segunda-feira;PR;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
segunda-feira;MG;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Nublado;Reta
segunda-feira;MG;Pista Escorregadia;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Chuva;Curva
segunda-feira;PE;Nao guardar distancia de seguranca;Engavetamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;PB;Desobediencia nas normas de transito pelo condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;Curva
segunda-feira;MG;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;PE;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Desvio Temporario
segunda-feira;PI;Ingestao de Alcool;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;SC;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;SP;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Chuva;Reta
segunda-feira;MG;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
segunda-feira;SC;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Rotatoria
sexta-feira;RO;Falta de Atencao Conducao;Colisao transversal;Sem Vitimas;Pleno dia;Ceu Claro;Reta
segunda-feira;PR;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Garoa/Chuvisco;Curva
segunda-feira;SC;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;Reta
segunda-feira;CE;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;RO;Mal Subito;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
segunda-feira;RJ;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;Nao Informado
segunda-feira;MG;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
segunda-feira;CE;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
segunda-feira;MG;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;Reta
segunda-feira;SP;Defeito Mecanico no Veiculo;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Ceu Claro;Curva
segunda-feira;RJ;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Plena Noite;Nublado;Curva
segunda-feira;MT;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
quinta-feira;ES;Velocidade Incompativel;Tombamento;Com Vitimas Feridas;Pleno dia;Sol;Curva
segunda-feira;MG;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Fatais;Pleno dia;Nublado;Reta
segunda-feira;RS;Mal Subito;Colisao lateral;Com Vitimas Feridas;Pleno dia;Nublado;Curva
domingo;MG;Defeito Mecanico no Veiculo;Incendio;Sem Vitimas;Pleno dia;Ceu Claro;Reta
segunda-feira;RO;Falta de Atencao Conducao;Colisao transversal;Sem Vitimas;Pleno dia;Nublado;Rotatoria
sabado;PR;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
segunda-feira;MT;Ultrapassagem Indevida;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Desvio Temporario
segunda-feira;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;Reta
segunda-feira;PE;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Fatais;Pleno dia;Nublado;Reta
