dia_semana;uf;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tracado_via
terca-feira;PA;Velocidade Incompativel;Colisao traseira;Sem Vitimas;Pleno dia;Nublado;Nao Informado
terca-feira;SC;Defeito Mecanico no Veiculo;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MT;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Fatais;Pleno dia;Chuva;Reta
terca-feira;AL;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;SC;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Velocidade Incompativel;Colisao lateral;Com Vitimas Feridas;Pleno dia;Chuva;Curva
terca-feira;RO;Defeito na Via;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Nublado;Reta
terca-feira;SC;Desobediencia nas normas de transito pelo condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Rotatoria
terca-feira;AM;Ingestao de Alcool;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;MA;Desobediencia nas normas de transito pelo condutor;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;BA;Ingestao de Alcool;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;Desvio Temporario
terca-feira;GO;Defeito Mecanico no Veiculo;Colisao traseira;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;CE;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;RJ;Desobediencia nas normas de transito pelo condutor;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Sol;Reta
terca-feira;MG;Nao guardar distancia de seguranca;Colisao traseira;Com Vitimas Feridas;Pleno dia;Chuva;Reta
terca-feira;ES;Nao guardar distancia de seguranca;Engavetamento;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;RJ;Falta de Atencao Conducao;Capotamento;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
